TRADEDATE,ISIN,SECID,SHORTNAME,NAME,BOARDID,TYPE,MATDATE,OFFERDATE,FACEVALUE,FACEUNIT,ISSUESIZE,LOTVALUE,COUPONPERCENT,COUPONVALUE,COUPONFREQUENCY,COUPONPERIOD,OPEN,LOW,HIGH,CLOSE,WAPRICE,VOLUME,VALUE,NUMTRADES,ACCINT,YIELDCLOSE,YIELDATWAP,DURATION_DAYS,DURATION_YEARS,STATUS
2026-04-24,RU000A0JS3W6,SU26207RMFS9,ОФЗ 26207,ОФЗ-ПД 26207 03/02/27,TQOB,ofz_bond,2027-02-03,,1000.0,SUR,370200604.0,,8.15,40.64,2.0,,96.84,96.66,96.862,96.721,96.762,44127,42698180.78,1493,17.64,13.1,13.04,275.0,0.75,OK
2026-04-24,RU000A0JTK38,SU26212RMFS9,ОФЗ 26212,ОФЗ-ПД 26212 19/01/28,TQOB,ofz_bond,2028-01-19,,1000.0,SUR,356981514.0,,7.05,35.15,2.0,,91.899,90.612,91.9,91.23,91.451,271847,248605720.99,1848,17.96,13.25,13.09,594.0,1.63,OK
2026-04-24,RU000A0JVW48,SU26218RMFS6,ОФЗ 26218,ОФЗ-ПД 26218 17/09/31,TQOB,ofz_bond,2031-09-17,,1000.0,SUR,597608211.0,,8.5,42.38,2.0,,82.298,80.513,82.298,81.06,81.484,1945858,1585560765.66,2936,6.99,14.02,13.88,1561.0,4.28,OK
2026-04-24,RU000A0JWM07,SU26219RMFS4,ОФЗ 26219,ОФЗ-ПД 26219 16/09/26,TQOB,ofz_bond,2026-09-16,,1000.0,SUR,361974169.0,,7.75,38.64,2.0,,98.168,98.078,98.2,98.087,98.18,106897,104951788.46,903,7.86,13.31,13.04,142.0,0.39,OK
2026-04-24,RU000A0JXE06,RU000A0JXE06,ГТЛК 1P-03,ГосТранспортЛизингКомп 001P-03,TQCB,exchange_bond,2032-01-22,,1000.0,SUR,10000000.0,,18.2,45.38,4.0,,98.15,96.98,98.41,98.17,97.99,34641,33944994.4,104,42.38,17.48,17.66,410.0,1.12,OK
2026-04-24,RU000A0JXN05,RU000A0JXN05,РЖД Б01P1R,"""Российские ЖД"" БО-001P-01R",TQCB,exchange_bond,2032-05-18,,1000.0,SUR,15000000.0,,18.4,91.75,2.0,,106.42,106.42,107.8,107.1,107.32,324,347715.3,87,75.62,14.83,14.7,625.0,1.71,OK
2026-04-24,RU000A0JXQ44,RU000A0JXQ44,РЖД Б01P2R,"""Российские ЖД"" БО-001P-02R",TQCB,exchange_bond,2037-04-02,,1000.0,SUR,15000000.0,,14.4,71.8,2.0,,101.72,100.46,101.72,100.48,100.98,79,79774.3,28,3.16,14.82,14.72,2124.0,5.82,OK
2026-04-24,RU000A0JXRD5,RU000A0JXRD5,ПочтаРБ1P2,Почта России (АО) БО-001P-02,TQCB,exchange_bond,2027-05-11,,1000.0,SUR,5000000.0,,15.15,75.54,2.0,,100.46,99.99,100.47,100.03,100.15,209,209322.2,35,68.07,15.67,15.53,342.0,0.94,OK
2026-04-24,RU000A0ZYVU5,RU000A0ZYVU5,Роснфт2P5,ПАО НК Роснефть 002P-05,TQCB,exchange_bond,2028-02-18,,1000.0,SUR,20000000.0,,9.0,44.88,2.0,,92.66,91.5,92.66,91.8,91.8,761,698633.1,114,15.53,14.78,14.78,614.0,1.68,OK
2026-04-24,RU000A0ZZYW2,SU26226RMFS9,ОФЗ 26226,ОФЗ-ПД 26226 07/10/26,TQOB,ofz_bond,2026-10-07,,1000.0,SUR,367210831.0,,7.95,39.64,2.0,,97.998,97.785,98.0,97.98,97.986,60960,59732016.18,810,3.48,13.12,13.11,163.0,0.45,OK
2026-04-24,RU000A1003A4,RU000A1003A4,ГТЛК 1P-13,ГТЛК БО 001P-13,TQCB,exchange_bond,2034-01-20,,1000.0,SUR,10000000.0,,9.57,23.86,4.0,,95.63,95.46,95.76,95.46,95.65,8,7652.0,7,22.02,16.91,16.6,269.0,0.74,OK
2026-04-24,RU000A100A82,SU26228RMFS5,ОФЗ 26228,ОФЗ-ПД 26228 10/04/30,TQOB,ofz_bond,2030-04-10,,1000.0,SUR,592018800.0,,7.65,38.15,2.0,,84.151,82.902,84.361,83.207,83.183,1204513,1002788278.61,2715,1.89,13.68,13.69,1250.0,3.42,OK
2026-04-24,RU000A100EF5,SU26230RMFS1,ОФЗ 26230,ОФЗ-ПД 26230 16/03/39,TQOB,ofz_bond,2039-03-16,,1000.0,SUR,699489066.0,,7.7,38.39,2.0,,63.998,62.996,64.38,63.176,63.276,1948022,1232638417.32,6936,4.85,14.41,14.38,2589.0,7.09,OK
2026-04-24,RU000A101012,RU000A101012,Систем1P12,АФК Система БО 001P-12,TQCB,exchange_bond,2029-10-23,,1000.0,SUR,10000000.0,,18.0,89.75,2.0,,106.06,101.52,110.35,105.4,105.45,6118,6451617.4,298,87.78,12.52,12.47,325.0,0.89,OK
2026-04-24,RU000A1017J5,RU000A1017J5,Газпнф3P2R,Газпром нефть БО 003Р-02R,TQCB,exchange_bond,2029-12-07,,1000.0,SUR,20000000.0,,7.15,17.83,4.0,,82.21,81.7,82.7,82.27,82.07,2549,2092062.7,293,8.23,14.11,14.2,1144.0,3.13,OK
2026-04-24,RU000A101GD3,RU000A101GD3,ГТЛК 1P-16,ГТЛК БО 001P-16,TQCB,exchange_bond,2028-02-17,,250.0,SUR,10000000.0,,6.95,4.33,4.0,,90.31,89.79,90.93,90.25,90.11,689,155218.95,79,3.05,16.32,16.46,445.0,1.22,OK
2026-04-24,RU000A101NG2,RU000A101NG2,МТС 1P-15,Мобильные ТелеСистемы 001P-15,TQCB,exchange_bond,2026-11-05,,1000.0,SUR,5000000.0,,6.6,16.45,4.0,,96.85,96.27,96.9,96.27,96.71,250,241777.2,30,14.1,14.83,13.83,187.0,0.51,OK
2026-04-24,RU000A101Q26,RU000A101Q26,Систем1P13,АФК Система БО 001P-13,TQCB,exchange_bond,2030-05-15,,1000.0,SUR,15000000.0,,16.0,79.78,2.0,,99.41,98.1,99.74,98.5,98.85,1446,1429419.2,112,68.38,19.7,18.96,196.0,0.54,OK
2026-04-24,RU000A101QL5,RU000A101QL5,ГТЛК 1P-17,ГТЛК БО 001P-17,TQCB,exchange_bond,2035-05-14,,1000.0,SUR,10000000.0,,7.44,18.55,4.0,,98.93,98.88,99.1,99.09,98.97,2900,2870236.7,91,12.23,19.7,21.4,31.0,0.08,OK
2026-04-24,RU000A101RV2,RU000A101RV2,Казахст07,Республика Казахстан 07,TQCB,ofz_bond,2027-09-15,,1000.0,SUR,10000000.0,,6.55,32.66,2.0,,90.56,90.18,90.56,90.31,90.38,581,525102.4,93,6.64,15.03,14.96,488.0,1.34,OK
2026-04-24,RU000A101RZ3,RU000A101RZ3,Казахст11,Республика Казахстан 11,TQCB,ofz_bond,2030-09-11,,1000.0,SUR,10000000.0,,7.0,34.9,2.0,,76.68,75.8,76.68,76.13,76.32,495,377792.3,116,7.1,15.09,15.01,1357.0,3.72,OK
2026-04-24,RU000A101SC0,RU000A101SC0,ГТЛК 1P-18,ГТЛК БО 001P-18,TQCB,exchange_bond,2035-05-23,,1000.0,SUR,5000000.0,,7.84,19.55,4.0,,91.56,90.85,91.85,91.55,91.6,86,78776.0,31,10.95,17.32,17.26,387.0,1.06,OK
2026-04-24,RU000A101SD8,RU000A101SD8,ГТЛК 1P-19,ГТЛК БО 001P-19,TQCB,exchange_bond,2035-05-23,,1000.0,SUR,5000000.0,,7.97,19.87,4.0,,86.65,86.62,87.13,86.7,86.73,24,20814.0,8,11.14,16.4,16.38,702.0,1.92,OK
2026-04-24,RU000A101WR0,RU000A101WR0,ОГК-2 2Р01,ОГК-2 002P-01,TQCB,exchange_bond,2026-07-08,,1000.0,SUR,5000000.0,,10.1,50.36,2.0,,,,,,,0,0.0,0,29.61,,,72.0,0.2,OK
2026-04-24,RU000A101XS6,RU000A101XS6,МОЭК БО1P4,МОЭК ПАО БО 001Р-04,TQCB,exchange_bond,2026-07-15,,1000.0,SUR,5000000.0,,16.5,82.27,2.0,,100.76,100.6,100.76,100.74,100.74,20,20147.5,6,45.21,13.03,13.03,79.0,0.22,OK
2026-04-24,RU000A101Z74,RU000A101Z74,ГПБ001P17P,ГПБ (АО) БО 001Р-17Р,TQCB,exchange_bond,2030-07-31,,1000.0,SUR,10630210.0,,12.75,63.23,2.0,,97.42,97.17,97.52,97.36,97.29,4326,4208781.0,95,28.99,14.62,14.66,724.0,1.98,OK
2026-04-24,RU000A102879,RU000A102879,ВТБСУБТ2-1,Банк ВТБ ПАО СУБ-Т2-1,TQCB,corporate_bond,2031-04-02,,10000000.0,SUR,7000.0,,16.66,830717.81,2.0,,97.5,97.0,97.5,97.0,97.25,6,58350000.0,4,73030.14,18.36,18.27,1278.0,3.5,OK
2026-04-24,RU000A102986,RU000A102986,СУЭК-Ф1P6R,СУЭК-Финанс 001Р-06R,TQCB,exchange_bond,2030-10-10,,1000.0,SUR,14000000.0,,18.9,94.24,2.0,,99.85,99.54,100.1,100.01,100.01,370,370046.2,28,4.14,19.76,19.76,342.0,0.94,OK
2026-04-24,RU000A102A31,SU29018RMFS7,ОФЗ 29018,ОФЗ-ПК 29018 26/11/2031,TQOB,ofz_bond,2031-11-26,,1000.0,SUR,427747115.0,,,,4.0,,97.449,97.211,97.449,97.226,97.31,2838,2761670.36,71,20.86,,0.0,,,OK
2026-04-24,RU000A102A49,SU29019RMFS5,ОФЗ 29019,ОФЗ-ПК 29019 18/07/2029,TQOB,ofz_bond,2029-07-18,,1000.0,SUR,430194756.0,,,,4.0,,99.742,99.47,99.742,99.599,99.533,10215,10167333.68,173,0.79,,0.0,,,OK
2026-04-24,RU000A102BV4,SU29020RMFS3,ОФЗ 29020,ОФЗ-ПК 29020 22/09/2027,TQOB,ofz_bond,2027-09-22,,1000.0,SUR,294544699.0,,,,4.0,,100.092,99.969,100.137,100.137,100.089,137715,137803775.67,1932,12.14,,0.0,,,OK
2026-04-24,RU000A102GJ8,RU000A102GJ8,ГПБ001P19P,ГПБ (АО) БО 001Р-19Р,TQCB,exchange_bond,2030-12-11,,1000.0,SUR,15000000.0,,12.75,63.58,2.0,,98.33,98.32,99.81,98.58,98.9,59314,58659906.4,55,46.81,14.61,14.27,382.0,1.05,OK
2026-04-24,RU000A102HC1,RU000A102HC1,Сбер2СУБ2R,Сбербанк 002СУБ-02R,TQCB,corporate_bond,2031-03-11,,10000000.0,SUR,5600.0,,15.0,747945.21,2.0,,98.5,98.39,98.5,98.4,98.43,5,49213000.0,5,156164.38,16.06,16.05,1299.0,3.56,OK
2026-04-24,RU000A102LU5,RU000A102LU5,ГПБ001P20P,ГПБ (АО) БО 001Р-20Р,TQCB,exchange_bond,2030-12-28,,1000.0,SUR,2000000.0,,14.25,71.05,2.0,,101.0,100.99,101.0,100.99,101.0,12,12119.9,5,45.68,14.31,14.31,934.0,2.56,OK
2026-04-24,RU000A102QP4,RU000A102QP4,РЖД 1Р-21R,РЖД БО 001Р-21R,TQCB,exchange_bond,2027-06-11,,1000.0,SUR,20000000.0,,6.85,34.16,2.0,,92.71,92.69,93.45,92.92,92.86,967,897938.8,114,24.96,14.33,14.4,391.0,1.07,OK
2026-04-24,RU000A102SX4,RU000A102SX4,Систем1P19,АФК Система БО 001P-19,TQCB,exchange_bond,2031-02-17,,1000.0,SUR,12500000.0,,24.0,59.84,4.0,,100.32,100.28,100.58,100.56,100.47,1373,1379517.3,89,39.45,18.07,19.28,31.0,0.08,OK
2026-04-24,RU000A102VR0,RU000A102VR0,ГТЛК 2P-01,ГТЛК БО 002P-01,TQCB,exchange_bond,2036-03-03,,1000.0,SUR,10000000.0,,17.6,43.88,4.0,,96.0,96.0,96.46,96.38,96.07,410,393900.9,35,18.81,17.2,17.39,732.0,2.01,OK
2026-04-24,RU000A1038V6,SU26238RMFS4,ОФЗ 26238,ОФЗ-ПД 26238 15/05/2041,TQOB,ofz_bond,2041-05-15,,1000.0,SUR,1000000000.0,,7.1,35.4,2.0,,59.904,58.9,59.987,59.03,59.272,5052380,2994143041.87,36136,27.62,14.0,13.94,2695.0,7.38,OK
2026-04-24,RU000A1038Z7,SU26237RMFS6,ОФЗ 26237,ОФЗ-ПД 26237 14/03/2029,TQOB,ofz_bond,2029-03-14,,1000.0,SUR,418953119.0,,6.7,33.41,2.0,,86.251,85.135,86.496,85.626,85.622,155434,133085137.34,1462,6.79,13.23,13.23,959.0,2.63,OK
2026-04-24,RU000A103943,RU000A103943,Аэрофл БО1,Аэрофлот-росс.авиалин.ПАО БО-1,TQCB,exchange_bond,2026-06-11,,1000.0,SUR,24650000.0,,8.35,20.82,4.0,,99.02,99.01,99.21,99.18,99.1,4628,4586455.9,319,9.84,15.99,16.74,45.0,0.12,OK
2026-04-24,RU000A103AT8,RU000A103AT8,sАтомэнп01,Атомэнергопром АО 001Р-01,TQCB,exchange_bond,2026-06-19,,1000.0,SUR,10000000.0,,7.5,37.4,2.0,,99.23,98.64,99.25,99.04,98.9,798,789223.6,92,25.89,14.73,15.82,53.0,0.15,OK
2026-04-24,RU000A103BR0,SU26240RMFS0,ОФЗ 26240,ОФЗ-ПД 26240 30/07/2036,TQOB,ofz_bond,2036-07-30,,1000.0,SUR,550000000.0,,7.0,34.9,2.0,,63.067,62.006,63.12,62.174,62.383,733604,457642056.06,9200,13.81,14.56,14.5,2371.0,6.5,OK
