date,ticker,board,open,low,high,close,volume
2026-03-17,SBER,TQBR,316.6,315.8,319.73,319.69,26044180
2026-03-18,SBER,TQBR,319.8,318.8,322.17,320.51,38076511
2026-03-19,SBER,TQBR,320.9,319.21,321.43,320.77,24035017
2026-03-20,SBER,TQBR,321.0,319.51,322.0,320.16,21758167
2026-03-23,SBER,TQBR,320.16,314.87,320.74,316.87,34569625
2026-03-24,SBER,TQBR,317.43,315.72,317.9,317.17,12487529
2026-03-25,SBER,TQBR,317.3,316.49,319.0,317.02,8776779
2026-03-26,SBER,TQBR,317.32,315.26,317.7,315.92,13353011
2026-03-27,SBER,TQBR,316.3,313.5,316.69,313.88,23618618
2026-03-30,SBER,TQBR,313.9,312.4,316.3,314.48,27147563
2026-03-31,SBER,TQBR,315.0,313.43,315.63,314.22,13040353
2026-04-01,SBER,TQBR,314.65,314.15,317.47,316.71,18962642
2026-04-02,SBER,TQBR,316.75,315.18,317.21,316.27,9372317
2026-04-03,SBER,TQBR,316.47,314.21,317.41,314.65,14790929
2026-04-06,SBER,TQBR,315.03,314.55,319.75,318.98,37438192
2026-04-07,SBER,TQBR,319.28,317.66,320.81,317.87,23014285
2026-04-08,SBER,TQBR,319.5,318.4,321.18,319.4,18211595
2026-04-09,SBER,TQBR,319.75,316.0,320.86,317.51,31890826
2026-04-10,SBER,TQBR,317.98,316.57,318.79,317.29,14873204
2026-04-13,SBER,TQBR,317.31,315.55,318.08,316.8,18785644
2026-04-14,SBER,TQBR,316.98,315.28,317.88,317.11,13158936
2026-04-15,SBER,TQBR,317.7,316.45,321.66,320.91,29327448
2026-03-17,GAZP,TQBR,128.39,127.17,128.76,127.64,37578620
2026-03-18,GAZP,TQBR,127.5,126.6,129.88,129.76,78692820
2026-03-19,GAZP,TQBR,129.88,129.16,132.14,130.74,114510120
2026-03-20,GAZP,TQBR,130.74,130.53,132.13,131.89,64854220
2026-03-23,GAZP,TQBR,132.1,128.64,136.07,131.67,183443580
2026-03-24,GAZP,TQBR,131.67,131.5,137.2,134.28,143850600
2026-03-25,GAZP,TQBR,134.0,133.74,136.8,136.4,81483480
2026-03-26,GAZP,TQBR,136.53,134.75,137.79,136.79,124219640
2026-03-27,GAZP,TQBR,137.15,135.22,139.07,137.49,116958630
2026-03-30,GAZP,TQBR,137.5,134.1,138.38,136.49,101159100
2026-03-31,GAZP,TQBR,136.32,132.66,136.49,133.27,83040270
2026-04-01,GAZP,TQBR,133.32,132.28,135.15,134.95,43686280
2026-04-02,GAZP,TQBR,135.12,133.21,135.59,133.99,34215660
2026-04-03,GAZP,TQBR,134.0,132.57,134.89,133.02,35450750
2026-04-06,GAZP,TQBR,133.1,130.6,134.01,133.32,61340800
2026-04-07,GAZP,TQBR,133.6,132.81,135.41,133.3,47119850
2026-04-08,GAZP,TQBR,130.93,129.57,131.88,131.08,60066430
2026-04-09,GAZP,TQBR,131.28,128.05,131.5,128.74,82628080
2026-04-10,GAZP,TQBR,128.98,127.24,129.68,127.84,48810840
2026-04-13,GAZP,TQBR,127.9,127.7,131.47,128.05,62572180
2026-04-14,GAZP,TQBR,128.46,127.18,129.78,127.9,32550290
2026-04-15,GAZP,TQBR,128.1,126.96,129.11,128.5,27746190
2026-03-17,LKOH,TQBR,5718.0,5705.5,5758.0,5738.5,560175
2026-03-18,LKOH,TQBR,5726.0,5671.5,5830.0,5818.0,1475985
2026-03-19,LKOH,TQBR,5830.5,5780.5,5874.0,5790.0,1816296
2026-03-20,LKOH,TQBR,5790.0,5723.0,5848.0,5807.0,1169245
2026-03-23,LKOH,TQBR,5809.0,5600.5,5837.0,5668.0,1329005
2026-03-24,LKOH,TQBR,5685.0,5659.0,5737.0,5674.0,505028
2026-03-25,LKOH,TQBR,5665.0,5600.0,5698.0,5661.0,405955
2026-03-26,LKOH,TQBR,5679.5,5643.5,5720.5,5698.5,529040
2026-03-27,LKOH,TQBR,5698.5,5600.0,5729.5,5629.0,641488
2026-03-30,LKOH,TQBR,5644.0,5603.5,5708.5,5689.5,669781
2026-03-31,LKOH,TQBR,5689.5,5565.5,5694.0,5578.0,566820
2026-04-01,LKOH,TQBR,5579.0,5478.5,5596.0,5494.0,533166
2026-04-02,LKOH,TQBR,5522.5,5494.5,5574.0,5538.5,557639
2026-04-03,LKOH,TQBR,5544.5,5482.0,5569.0,5502.0,410200
2026-04-06,LKOH,TQBR,5504.0,5442.0,5623.5,5576.5,911840
2026-04-07,LKOH,TQBR,5598.0,5544.5,5668.0,5591.5,739771
2026-04-08,LKOH,TQBR,5400.0,5352.5,5514.5,5448.5,1049520
2026-04-09,LKOH,TQBR,5465.0,5411.0,5505.5,5442.0,461275
2026-04-10,LKOH,TQBR,5452.0,5377.0,5460.0,5392.0,362907
2026-04-13,LKOH,TQBR,5390.0,5390.0,5587.5,5440.5,913520
2026-04-14,LKOH,TQBR,5450.0,5412.0,5466.5,5414.0,420174
2026-04-15,LKOH,TQBR,5419.5,5362.5,5437.5,5410.5,429481
